,x1,x2,y
sample1,0.401910745,5.625848022,3.407579362
sample2,0.399437449,8.873393985,3.410755348
sample3,0.413479167,8.936952318,3.400240381
sample4,0.4119454,8.84681067,3.39849588
sample5,0.409518061,8.860274781,3.401656939
sample6,0.405098333,8.691747789,3.397218934
sample7,0.413000455,8.959990901,3.400129317
sample8,0.413127925,8.959585435,3.40210885
sample9,0.409051739,8.862545216,3.401511043
sample10,0.394582447,8.643808746,3.411022425
sample11,0.396608136,8.852937857,3.411268747
sample12,0.413920795,9.088856127,3.403967863
sample13,0.4002241,8.644479944,3.40440412
sample14,0.40350375,8.706071962,3.40462135
sample15,0.406548367,8.88395968,3.408862122
sample16,0.40684125,8.68512213,3.400236356
sample17,0.403151837,8.694727,3.402751061
sample18,0.401206196,8.686407904,3.405139738
sample19,0.399344712,8.69046299,3.407405001
sample20,0.399165,8.753576721,3.4104915
sample21,0.405585714,8.843851269,3.4056308
sample22,0.404418171,8.847562318,3.405829414
sample23,0.405098333,9.176949292,3.415217962
sample24,0.40403881,8.99512,3.413905238
sample25,0.403810175,9.03213757,3.413170069
sample26,0.402517333,8.921537157,3.413017689
sample27,0.401980306,9.000858528,3.414341224
sample28,0.3940831,8.751028174,3.413052898
sample29,0.398784727,8.901776023,3.417801548
sample30,0.406550106,9.099829619,3.409958638
sample31,0.400985455,9.048560573,3.413036073
sample32,0.408007315,9.076750638,3.411031481
sample33,0.4043181,9.253781674,3.41558256
sample34,0.400176364,9.198082102,3.418380254
sample35,0.398999216,9.249578341,3.421922197
sample36,0.406720532,8.992221748,3.408654766
sample37,0.402436574,8.983989091,3.407951927
sample38,0.406364464,8.982834762,3.412062644
sample39,0.397335556,8.928943409,3.416278666
sample40,0.398468478,8.934192722,3.415253738
sample41,0.401634314,8.971603803,3.41897451
sample42,0.408965854,9.103961543,3.408821952
sample43,0.406572941,9.108556152,3.41502557
sample44,0.403860517,8.934049624,3.406700206
sample45,0.39961,8.817193335,3.40784547
sample46,0.399910116,8.921049203,3.413453534
sample47,0.402332353,9.079623442,3.414277175
sample48,0.414827065,9.245534208,3.410486131
sample49,0.400667925,9.078330328,3.415544943
sample50,0.412919545,9.20088208,3.411380227
sample51,0.402774444,9.014058499,3.411131389
sample52,0.3998236,8.632544602,3.41041428
sample53,0.402758585,8.918968439,3.409415812
sample54,0.4007314,9.02892517,3.41474952
sample55,0.397648367,9.007699738,3.416449878
sample56,0.4104769,9.328395877,3.416153
sample57,0.399962292,8.961609412,3.413426791
sample58,0.395315233,9.148370045,3.422792976
sample59,0.414808462,9.007243634,3.399581999
sample60,0.406963625,8.945339316,3.4064602
sample61,0.404232551,8.889130575,3.407144
sample62,0.41120871,9.019942608,3.399528517
sample63,0.408964082,9.099019907,3.402285182
sample64,0.396185435,8.806091391,3.409940446
sample65,0.408356273,9.143302881,3.408724327
sample66,0.406260946,9.061540142,3.407800323
sample67,0.398014138,8.759799445,3.410203932
sample68,0.408434255,8.830048332,3.401435869
sample69,0.413868542,9.274758267,3.405819625
sample70,0.407104205,9.176478187,3.410079637
sample71,0.400248113,9.111823699,3.415496378
sample72,0.403412727,8.979075459,3.409322683
sample73,0.400284677,8.863061589,3.408593289
sample74,0.407912429,8.883013272,3.402299828
sample75,0.407712359,8.85247201,3.401715395
sample76,0.403254762,8.813002352,3.406434572
sample77,0.402590465,8.934360768,3.408450048
sample78,0.409294048,9.112824617,3.407183
sample79,0.403199667,9.046982733,3.410844666
sample80,0.4098183,9.178533709,3.40147964
sample81,0.408189912,9.121092165,3.402755473
sample82,0.403254762,8.813002352,3.406434572
sample83,0.402590465,8.934360768,3.408450048
sample84,0.407912429,8.883013272,3.402299828
sample85,0.407712359,8.85247201,3.401715395
sample86,0.41029,9.179579375,3.406318976
sample87,0.402568426,8.74299897,3.403026188
sample88,0.405303718,8.983735341,3.407679332
sample89,0.4027962,8.886199672,3.40758288
sample90,0.402852143,8.689612946,3.402897334
sample91,0.405625741,8.994376293,3.405335554
sample92,0.407073864,8.922056919,3.404812273
sample93,0.40283398,8.874986723,3.406946613
sample94,0.411272359,9.128641731,3.399888528
sample95,0.421651406,9.320193793,3.402914939
sample96,0.405902093,9.065397743,3.409197394
sample97,0.407571455,9.005992414,3.407016837
sample98,0.418259545,9.258475098,3.398831683
sample99,0.409869722,9.062297563,3.404164834
sample100,0.411702391,9.002927134,3.404108217
sample101,0.418609911,9.164531571,3.39637811
sample102,0.4107706,9.056619842,3.40419664
sample103,0.404438723,8.731250932,3.402595154
sample104,0.40467913,8.976160108,3.407105
sample105,0.408440948,8.894498801,3.396687068
sample106,0.406878333,9.052479239,3.4091785
sample107,0.402367411,8.926775654,3.408443072
sample108,0.410308542,9.031257585,3.405243834
sample109,0.400955854,8.953108678,3.409277269
sample110,0.414430972,8.976797813,3.399114334
sample111,0.414712755,9.080010486,3.396471265
sample112,0.411702391,9.002927134,3.404108217
sample113,0.418609911,9.164531571,3.39637811
sample114,0.410347051,9.069173906,3.403997334
sample115,0.410056375,9.097660456,3.40625285
sample116,0.412530345,8.926075509,3.398920827
sample117,0.40584,8.704355543,3.399530334
sample118,0.407738667,8.824160446,3.403662889
sample119,0.404891226,8.923203674,3.407036565
sample120,0.407514048,8.885632893,3.401601666
sample121,0.404328854,8.908632727,3.406171166
sample122,0.409593478,8.892008282,3.402575348
sample123,0.406452925,8.807258533,3.40099448
sample124,0.4051458,8.944931008,3.40837484
sample125,0.400821389,8.851116757,3.407976
sample126,0.4102188,8.899088748,3.3978854
sample127,0.4110643,9.054819744,3.40428036
sample128,0.403381905,8.880970273,3.406601094
sample129,0.402397105,8.83158719,3.406529578
sample130,0.405576296,8.890455642,3.404583
sample131,0.403564623,8.972005499,3.407895548
sample132,0.406443222,8.929375004,3.404974446
sample133,0.408294677,9.132346091,3.407745354
sample134,0.410609239,9.047715427,3.406027131
sample135,0.40238898,8.880807703,3.404879348
sample136,0.408742614,8.945090164,3.402176227
sample137,0.4019151,8.843093825,3.40548208
sample138,0.405685962,9.022192867,3.409165001
sample139,0.403381905,8.880970273,3.406601094
sample140,0.402397105,8.83158719,3.406529578
sample141,0.397968444,8.75037595,3.407432889
sample142,0.406601635,9.206303905,3.41262
sample143,0.406401087,9.016435085,3.405153305
sample144,0.405831759,8.976508287,3.407066481
sample145,0.398378488,8.759112939,3.411468245
sample146,0.400371444,8.881359218,3.411512
sample147,0.41029,9.066950642,3.405266667
sample148,0.402815816,8.875909638,3.401179387
sample149,0.407648404,8.988048853,3.406440892
sample150,0.402697755,8.929076736,3.408077878
sample151,0.39915359,8.853174213,3.409159333
sample152,0.398440784,8.934906083,3.4196162
sample153,0.414436591,9.116029053,3.398020363
sample154,0.408304615,8.954372224,3.40034
sample155,0.411142917,9.017543753,3.400462
sample156,0.404004375,8.94839636,3.405646834
sample157,0.401853542,8.804001678,3.407805375
sample158,0.4054039,8.855836667,3.4006284
sample159,0.405637727,8.830171728,3.40487491
sample160,0.4046029,8.949393833,3.40734472
sample161,0.404212969,8.952719505,3.409180939
sample162,0.406362019,8.887832714,3.400749999
sample163,0.409745102,8.922306383,3.397258163
sample164,0.412357941,9.077814622,3.397503099
sample165,0.411331489,9.059133617,3.401541829
sample166,0.40667551,8.999642492,3.405105387
sample167,0.411058636,9.0646415,3.40128809
sample168,0.405494898,9.064167086,3.408221674
sample169,0.410352093,9.164120816,3.403413302
sample170,0.398597241,8.729297195,3.404813415
sample171,0.409753718,9.124525212,3.403598
sample172,0.4087948,8.982560816,3.39963052
sample173,0.398656429,8.687652857,3.406457917
sample174,0.401157386,8.789234655,3.40587
sample175,0.412020556,9.092134391,3.401256446
sample176,0.410339444,9.111172197,3.400906889
sample177,0.411442955,9.047623965,3.40198359
