,microwave,air_conditioner,tublet,piano,bicycle,smartphone,pc
Hokkaido,813.54,268.32,169.26,225.42,1033.5,674.7,961.74
Aomori,823.68,814.32,116.22,167.7,1287.78,661.44,702
Iwate,817.44,922.74,129.48,233.22,1413.36,709.02,914.16
Miyagi,789.36,1315.08,156,216.06,1267.5,817.44,906.36
Akita,814.32,1330.68,129.48,219.96,1405.56,718.38,871.26
Yamagata,848.64,1927.38,169.26,262.08,1646.58,827.58,1053
Fukushima,841.62,1339.26,162.24,219.96,1473.42,773.76,872.04
Ibaragi,861.9,2276.04,191.88,283.14,1519.44,909.48,1024.92
Tochigi,831.48,1540.5,187.2,301.86,1476.54,811.98,1010.1
Gunma,827.58,1445.34,212.94,283.92,1484.34,845.52,1031.16
Saitama,811.2,2396.94,219.96,257.4,928.2,918.84,1100.58
Chiba,811.2,2191.8,222.3,251.16,926.64,883.74,1095.12
Toukyo,791.7,2199.6,301.08,265.2,518.7,994.5,1224.6
Kanagawa,804.18,2141.88,269.1,250.38,715.26,916.5,1152.06
Niigata,822.12,2420.34,171.6,246.48,1462.5,819,1044.42
Toyama,815.88,2615.34,200.46,258.18,1604.46,834.6,1134.12
Ishikawa,819,2457,201.24,266.76,1450.8,830.7,1020.24
Fukui,852.54,2961.66,259.74,313.56,1638.78,904.8,1215.24
Yamanashi,836.16,1624.74,187.2,347.88,1546.74,836.16,971.1
Nagano,830.7,1029.6,166.14,331.5,1535.82,771.42,999.18
Gifu,834.6,2302.56,185.64,280.8,1528.8,891.54,1058.46
Shizuoka,822.9,2176.2,230.1,290.16,1374.36,834.6,1032.72
Aichi,811.2,2412.54,237.12,268.32,1223.04,948.48,1086.54
Mie,829.92,2696.46,209.04,285.48,1162.2,874.38,1042.08
Shiga,841.62,2747.94,191.88,326.82,1365,999.18,1206.66
Kyoto,809.64,2535.78,240.24,243.36,836.94,942.24,1107.6
Oosaka,805.74,2415.66,230.1,217.62,657.54,913.38,1056.12
Hyogo,808.08,2349.36,213.72,268.32,892.32,861.12,1099.8
Nara,1020.24,2680.86,224.64,300.3,1055.34,959.4,1123.98
Wakayama,836.94,1260.48,178.62,284.7,1333.02,858,947.7
Tottori,828.36,2314.26,191.1,271.44,1524.12,736.32,1024.14
Shimane,824.46,2347.02,163.8,230.88,1426.62,644.28,901.68
Okayana,832.26,2658.24,208.26,312.78,1428.18,813.54,1057.68
Hiroshima,830.7,2290.08,193.44,267.54,1167.66,819.78,1017.12
Yamaguchi,826.8,2201.16,154.44,246.48,1272.96,662.22,882.18
Tokushima,861.12,3002.22,175.5,285.48,1501.5,820.56,1006.2
Kagawa,849.42,2965.56,185.64,304.2,1376.7,778.44,1022.58
Ehime,816.66,2350.14,141.18,306.54,1220.7,815.88,927.42
Kochi,796.38,2039.7,134.16,209.82,1184.82,680.94,777.66
Fukuoka,792.48,2173.08,185.64,230.88,1054.56,820.56,958.62
Saga,808.86,2449.98,159.12,256.62,1460.94,852.54,935.22
Nagasaki,811.98,2076.36,156,248.04,1129.44,756.6,913.38
Kumamoto,819,2330.64,233.22,254.28,1339.26,800.28,849.42
Oita,830.7,2118.48,165.36,232.44,1246.44,695.76,868.14
Miyazaki,811.2,1745.64,141.96,202.8,1340.82,755.82,810.42
Kagoshima,819.78,1928.16,146.64,198.9,1283.1,793.26,818.22
Okinawa,783.12,1531.14,163.8,178.62,1180.14,744.12,663
